GVKEY,Company Name,Ticker,CIK,Is the folder present?,,
7536,PHARMACIA CORP,PHA.1,67686,No,,
7554,MOORE WALLACE INC,MWI,67931,No,,
7562,MORGAN (J P) & CO,JPM.Z,68100,No,,
7585,MOTOROLA SOLUTIONS INC,MSI,68505,No,,
7679,NALCO CHEMICAL CO,NLC.2,69598,No,,
3527,CORESTATES FINANCIAL CORP,CFL.1,69952,No,,
7711,NATIONAL CITY CORP,NCC,69970,Yes,,
7650,FIRST CHICAGO NBD CORP,FCN.1,70040,No,,
7724,QUANTUM CHEMICAL CORP,CUE.1,70047,No,,
7750,TENET HEALTHCARE CORP,THC,70318,Yes,,
7772,NATIONAL SEMICONDUCTOR CORP,NSM.2,70530,Yes,,
7773,NATIONAL SERVICE INDS INC,NSI.1,70538,No,,
7647,BANK OF AMERICA CORP,BAC,70858,Yes,,
7648,NCR CORP,NCR,70866,Yes,,
7866,NEW YORK TIMES CO  -CL A,NYT,71691,No,,
7904,NICOR INC,GAS.2,72020,No,,
7658,NL INDUSTRIES,NL,72162,No,,
7912,NOBLE ENERGY INC,NBL,72207,Yes,,
7922,NORDSTROM INC,JWN,72333,No,,
7970,EVERSOURCE ENERGY,ES,72741,Yes,,
7977,XCEL ENERGY INC,XEL,72903,No,,
7980,NORTEL NETWORKS CORP,NRTLQ,72911,No,,
8007,WELLS FARGO & CO,WFC,72971,Yes,,
8004,NORTON CO,NRT.3,73104,No,,
7982,NORTHERN TRUST CORP,NTRS,73124,Yes,,
8030,NUCOR CORP,NUE,73309,Yes,,
8093,COVANTA ENERGY CORP,CVGYQ,73902,No,,
10621,TOSCO CORP,TOS.1,74091,No,,
10894,UDR INC,UDR,74208,No,,
8193,OSHKOSH B'GOSH INC  -CL A,GOSHA,75042,No,,
8202,OUTBOARD MARINE CORP,9975B,75149,No,,
8253,PACCAR INC,PCAR,75362,No,,
8290,PACIFICORP,MEC2,75594,No,,
128978,PACKAGING CORP OF AMERICA,PKG,75677,No,,
8299,PAINE WEBBER GROUP,PWJ.,75754,Yes,,
8304,PALL CORP,PLL.1,75829,Yes,,
8358,PARKER-HANNIFIN CORP,PH,76334,No,,
8468,PENNZENERGY CO,PZE.1,77320,No,,
8463,PENTAIR PLC,PNR,77360,No,,
8470,PEOPLES ENERGY CORP,PGL.1,77385,No,,
8475,PEP BOYS-MANNY MOE & JACK,PBY,77449,Yes,,
8479,PEPSICO INC,PEP,77476,Yes,,
8488,APPLIED BIOSYSTEMS INC,ABI.3,77551,Yes,,
23798,PET INC,PT.1,77709,No,,
8530,PFIZER INC,PFE,78003,Yes,,
8536,PHELPS DODGE CORP,PD.1,78066,No,,
8551,PVH CORP,PVH,78239,Yes,,
8596,PIONEER HI-BRED INTERNATIONL,PHB.1,78716,No,,
8606,PITNEY BOWES INC,PBI,78814,No,,
28590,BRINKS CO,BCO,78890,No,,
8657,PRIMARY PDC INC,PRDCQ,79326,No,,
8247,PPG INDUSTRIES INC,PPG,79879,Yes,,
8717,PRECISION CASTPARTS CORP,PCP,79958,No,,
8750,PRIME HOSPITALITY CORP,PDQ.2,80293,No,,
8762,PROCTER & GAMBLE CO,PG,80424,No,,
13341,PROGRESSIVE CORP-OHIO,PGR,80661,No,,
8852,QUAKER OATS CO,OAT.,81371,Yes,,
28701,RALSTON PURINA CO,RAL.,81870,No,,
8960,RAYCHEM CORP,RYC.,82206,No,,
9061,HSBC USA INC,HBC2,83246,Yes,,
9114,REYNOLDS METALS CO,RLM.1,83604,Yes,,
9155,RITE AID CORP,RAD,84129,Yes,,
9195,FRONTIER CORP,FRO.1,84567,No,,
9217,ROHM AND HAAS CO,ROH,84792,No,,
9225,ROLLINS INC,ROL,84839,No,,
9258,ROWAN COMPANIES PLC,RDC,85408,No,,
9267,ROYAL DUTCH PETROLEUM NV,RDPL,85486,No,,
9280,RUBBERMAID INC,RBD,85627,No,,
9293,RUSSELL CORP,RML.1,85812,No,,
9299,RYDER SYSTEM INC,R,85961,Yes,,
9351,SAFECO CORP,SAF,86104,Yes,,
9359,SAFEWAY INC,SWY,86144,No,,
62689,TRAVELERS COS INC,TRV,86312,Yes,,
9406,SANTA FE SNYDER CORP,SFS.1,86772,No,,
9465,SCHLUMBERGER LTD,SLB,87347,Yes,,
9483,SCIENTIFIC-ATLANTA INC,SFA.1,87777,No,,
9514,SCOTT PAPER CO,SPP.3,87949,No,,
9548,SEAGRAM CO LTD,VO.3,88188,No,,
5087,SPX CORP,SPXC,88205,No,,
9577,SECURITY PACIFIC CORP,7448B,88608,No,,
9611,SERVICE CORP INTERNATIONAL,SCI,89089,Yes,,
9635,SHARED MEDICAL SYSTEMS CORP,SMS.2,89415,No,,
9667,SHERWIN-WILLIAMS CO,SHW,89800,Yes,,
9673,SHONEY'S INC,3SHOY,89902,No,,
9699,SIGMA-ALDRICH CORP,SIAL,90185,No,,
1573,AMERICAN STORES CO,ASC.1,90811,No,,
9771,SMITH (A.O.),AOS,91142,No,,
9777,SMUCKER (JM) CO,SJM,91419,Yes,,
9778,SNAP-ON INC,SNA,91440,Yes,,
9783,KEYCORP,KEY,91576,No,,
9880,SOUTHTRUST CORP,SOTR,92081,No,,
9850,SOUTHERN CO,SO,92122,Yes,,
11856,BB&T CORP,BBT,92230,Yes,,
9810,SONAT INC,SNT.1,92236,No,,
9882,SOUTHWEST AIRLINES,LUV,92380,Yes,,
9963,SPRINGS INDUSTRIES  -CL A,SMI.1,93102,Yes,,
9965,SQUARE D CO,SQD.1,93128,No,,
1609,AMOCO CORP,AN.2,93397,No,,
2991,CHEVRON CORP,CVX,93410,Yes,,
10016,STANLEY BLACK & DECKER INC,SWK,93556,Yes,,
10035,STATE STREET CORP,STT,93751,Yes,,
10109,STRIDE RITE CORP,SRR,94887,No,,
10156,SUNOCO INC,SUN.1,95304,No,,
10190,SUPERVALU INC,SVU,95521,Yes,,
10243,SYNTEX CORP,SYN.1,96000,No,,
10247,SYSCO CORP,SYY,96021,Yes,,
6682,JEFFERIES FINANCIAL GRP INC,JEF,96223,Yes,,
10332,RS LEGACY CORP,RSHCQ,96289,No,,
10391,TEKTRONIX INC,TEK.1,96879,No,,
10407,TELEFLEX INC,TFX,96943,No,,
10453,TERADYNE INC,TER,97210,Yes,,
7991,TEREX CORP,TEX,97216,Yes,,
10482,TEXACO INC,TX.2,97349,No,,
10499,TEXAS INSTRUMENTS INC,TXN,97476,Yes,,
10530,THERMO FISHER SCIENTIFIC INC,TMO,97745,Yes,,
10540,THOMAS & BETTS CORP,TNB,97854,Yes,,
13646,TIFFANY & CO,TIF,98246,Yes,,
10581,TIMKEN CO,TKR,98362,Yes,,
10608,TONKA CORP,TKA.,98651,No,,
10669,TRANSAMERICA CORP,TA.1,99189,No,,
10672,TRANSCO ENERGY CO,E.2,99231,No,,
10705,TRAVELERS CORP,TIC.1,99429,No,,
10301,TRW INC,TRW.1,100030,No,,
10793,TYSON FOODS INC  -CL A,TSN,100493,Yes,,
10795,UNITED CONTINENTAL HLDGS INC,UAL,100517,Yes,,
10855,UNION CAMP CORP,UCC.2,100783,No,,
10857,UNION CARBIDE CORP,DOW2,100790,Yes,,
10867,UNION PACIFIC CORP,UNP,100885,Yes,,
10868,UNION PLANTERS CORP,UPC.,100893,No,,
10909,SUMMIT BANCORP,SUB.2,101320,No,,
10931,U S BANCORP-OLD,USBC.,101542,No,,
